SetterPosition,ReceiveType,BlockingNum,ReceivingPlayer,PassQuality,Attacker,AttackResult,killType,KillX,KillY,killTeam,hitFix,BlockResult,BlockingPlayer,BlockingAssist
6,S,,21,1,9,D,,,,,,,,
6,L,2.0,21,1,,,,,,,,,,
6,S,,11,2,15,D,,,,,,,,
6,O,0.0,9,0,,,,,,,,,,
4,L,0.0,21,0,,,S,3,2,0,,,,
4,S,,11,3,13,E,,,,,,,,
4,S,,11,1,15,K,B,,,1,,,,
3,L,2.0,,,,,,,,,,D,13,4
3,L,2.0,11,3,21,K,S,3,2,1,,,,
3,O,1.0,,,,,,,,,,K,13,
3,L,2.0,9,1,21,K,R,1,3,1,,,,
2,M,1.0,13,1,21,D,,,,,,,,
2,R,1.5,,,,,,,,,,T,18,21
1,L,2.0,4,2,21,K,R,1,3,1,,,,
1,L,1.5,15,2,9,E,,,,,,,,
1,S,,11,2,21,B,,,,,,,,
1,S,,21,1,-1,D,,,,,,,,
6,M,1.0,4,0,,,S,1,1,0,,,,
6,S,,11,1,15,D,,,,,,,,
6,L,1.0,,,,,,,,,,D,1,
6,O,0.0,11,3,15,E,,,,,,,,
6,S,,21,1,9,D,,,,,,,,
6,L,0.0,-1,,,,T,2,2,0,,,,
6,S,,21,1,9,D,,,,,,,,
6,L,2.0,15,2,9,C,,,,,,,,
6,C,0.0,1,1,,,,,,,,,,
6,L,2.0,21,0,,,S,1,3,0,,,,
6,S,,21,1,15,D,,,,,,,,
6,D,0.0,-1,,,,S,1,2,0,,,,
6,S,,11,1,15,D,,,,,,,,
5,L,2.0,,,,,,,,,,D,13,9
5,R,2.0,4,2,15,D,,,,,,,,
5,D,0.0,4,1,15,K,T,1,3,1,,,,
