SetterPosition,ReceiveType,BlockingNum,ReceivingPlayer,PassQuality,Attacker,AttackResult,killType,KillX,KillY,killTeam,hitFix,BlockResult,BlockingPlayer,BlockingAssist
6,S,,15,0,,,,,,,,,,
6,S,,-1,,,,,,,,,,,
6,S,,15,1,15,E,,,,,,,,
6,S,,15,3,1,E,,,,,,,,
6,S,,15,0,-1,,,,,,,,,
6,F,0,21,3,9,D,,,,,,,,
6,L,2,,,,,,,,,,T,15,1
6,S,,15,3,9,E,,,,,,,,
6,S,,-1,0,,,,,,,,,,
6,S,,11,3,1,B,,,,,,,,
6,S,,21,3,15,D,,,,,,,,
6,L,2,21,2,,,,,,,,,,
6,S,,11,1,15,D,,,,,,,,
5,L,2,1,2,15,K,S,3,3,1,,,,
5,R,1.5,-1,,,,S,2,3,0,,,,
5,S,,21,1,15,B,,,,,,,,
5,S,,21,0,,,,,,,,,,
5,S,,21,3,13,E,,,,,,,,
4,R,2,,,,,,,,,,K,13,19
4,R,1.5,9,2,19,D,,,,,,,,
4,L,2,21,1,-1,D,,,,,,,,
4,R,2,,,,,,,,,,K,13,19
4,L,2,11,3,4,K,T,2,2,1,,,,
4,O,1,,,,,,,,,,K,13,
4,L,2,,,,,,,,,,E,13,19
4,S,,19,1,13,D,,,,,,,,
3,R,2,-1,,,,S,1,3,0,,,,
3,S,,11,2,21,D,,,,,,,,
2,L,2,,,,,,,,,,K,1,4
2,P,0,9,1,-1,D,,,,,,,,
2,R,2,1,2,21,D,,,,,,,,
2,F,0,19,3,1,D,,,,,,,,
2,F,0,9,3,21,D,,,,,,,,
2,F,0,9,3,21,K,S,3,1,1,,,,
2,L,2,13,2,21,D,,,,,,,,
2,L,2,19,2,21,K,T,1,3,1,,,,
2,L,2,,,,,,,,,,T,1,4
1,L,1.5,19,3,,,,,,,,,,
1,S,,21,1,9,C,,,,,,,,
1,F,0,11,3,9,K,S,2,2,1,,,,
1,L,2,4,2,,,,,,,,,,
1,S,,21,3,9,D,,,,,,,,
6,L,2,15,2,9,K,S,1,1,1,,,,
6,L,2,21,2,15,K,S,2,3,1,,,,
6,R,2,,,,,,,,,,T,13,15
5,S,,21,2,13,K,T,1,3,1,,,,
4,L,2,-1,,,,S,2,3,0,,,,
