SetterPosition,ReceiveType,BlockingNum,ReceivingPlayer,PassQuality,Attacker,AttackResult,killType,KillX,KillY,killTeam,hitFix,BlockResult,BlockingPlayer,BlockingAssist
4,F,0.0,11,3,13,K,B,3,1,1,,,,
4,F,1.0,19,3,19,K,T,2,2,1,,,,
4,O,0.0,19,2,13,D,,,,,,,,
4,L,2.0,21,1,,,,,,,,,,
4,S,,19,0,,,,,,,,,,
4,M,1.5,9,1,4,E,,,,,,,,
3,L,2.0,9,1,21,D,,,,,,,,
3,M,2.0,,,,,,,,,,T,13,21
3,S,,19,0,,,,,,,,,,
3,S,,11,0,-1,D,,,,,,,,
2,L,2.0,,,,,,,,,,T,4,18
2,S,,21,3,21,D,,,,,,,,
2,L,2.0,-1,,,,S,1,3,0,,,,
1,L,2.0,4,2,21,D,,,,,,,,
1,A,2.0,4,3,9,C,,,,,,,,
1,C,0.0,18,1,-1,D,,,,,,,,
1,L,2.0,,,,,,,,,,T,18,9
1,S,,21,1,9,E,,,,,,,,
1,S,,11,0,,,,,,,,,,
1,S,,11,3,9,K,T,1,3,1,,,,
6,F,0.0,9,3,18,E,,,,,,,,
6,S,,11,2,9,E,,,,,,,,
6,S,,11,0,,,,,,,,,,
5,L,2.0,,,,,,,,,,K,13,4
4,L,2.0,,,,,,,,,,E,13,4
4,S,,19,1,13,D,,,,,,,,
4,F,0.0,11,3,13,D,,,,,,,,
4,L,2.0,,,,,,,,,,T,13,4
3,L,2.0,-1,,,,S,3,3,0,,,,
3,S,,11,3,21,K,B,,,1,,,,
2,D,0.0,1,1,-1,D,,,,,,,,
2,L,2.0,9,2,21,D,,,,,,,,
2,L,1.5,,,,,,,,,,T,1,4
2,S,,21,1,21,D,,,,,,,,
2,L,2.0,19,0,,,S,2,3,0,,,,
2,S,,11,3,1,O,,,,,,,,
1,L,1.5,19,1,1,D,,,,,,,,
1,P,1.0,11,2,9,K,T,3,1,1,,,,
