SetterPosition,ReceiveType,BlockingNum,ReceivingPlayer,PassQuality,Attacker,AttackResult,killType,KillX,KillY,killTeam,hitFix,BlockResult,BlockingPlayer,BlockingAssist,SetID
1,M,2,,,,,,,,,,E,18,21,6
1,S,,11,0,,,,,,,,,,,6
1,S,,21,0,9,D,,,,,,,,,6
6,L,1.5,,,,,,,,,,T,18,4,6
6,S,,21,3,9,E,,,,,,,,,6
6,S,,11,3,15,E,,,,,,,,,6
6,S,,11,3,15,K,S,3,3,1,,,,,6
5,M,1,-10,,,,,,,,,K,13,,6
5,L,2,,,,,,,,,,E,4,13,6
5,S,,11,2,15,B,,,,,,,,,6
5,S,,11,0,,,,,,,,,,,6
5,F,0,21,3,9,K,S,1,3,1,,,,,6
4,M,1,21,0,,,S,2,3,0,,,,,6
4,S,,11,0,,,,,,,,,,,6
4,S,,11,3,13,K,S,3,3,1,,,,,6
3,L,1.5,15,1,-1,E,,,,,,,,,6
3,S,,11,3,13,D,,,,,,,,,6
3,F,0,11,3,13,E,,,,,,,,,6
3,S,,11,1,4,D,,,,,,,,,6
3,F,0,9,3,21,D,,,,,,,,,6
2,M,2,-1,,,,S,3,3,0,,,,,6
2,S,,11,2,21,D,,,,,,,,,6
2,M,1,,,,,,,,,,D,18,,6
2,F,0,9,3,21,D,,,,,,,,,6
2,O,1,,,,,,,,,,T,21,,6
2,S,,15,2,21,D,,,,,,,,,6
2,L,2,11,3,21,C,,,,,,,,,6
2,C,0,15,2,21,D,,,,,,,,,6
2,M,1.5,9,1,21,E,,,,,,,,,6
1,M,2,,,,,,,,,,K,18,21,6
1,L,2,4,1,-1,D,,,,,,,,,6
1,M,1,-1,,,,S,1,3,0,,,,,6
1,S,,21,3,18,E,,,,,,,,,6
6,L,2,21,1,,,,,,,,,,,6
6,L,2,21,1,15,D,,,,,,,,,6
6,L,2,,,,,,,,,,T,18,9,6
5,L,1,-1,,,,S,2,2,0,,,,,6
5,S,,11,0,-1,K,,,,1,,,,,6
4,M,2,11,3,13,D,,,,,,,,,6
4,L,2,13,2,15,D,,,,,,,,,6
4,D,0,21,0,,,T,1,3,0,,,,,6
4,S,,11,0,,,,,,,,,,,6
4,S,,11,2,15,K,B,,,1,,,,,6
4,M,1,,,,,,,,,,K,13,,6
3,S,,15,3,21,D,,,,,,,,,6
3,R,2,,,,,,,,,,D,13,21,6
3,L,2,15,1,21,D,,,,,,,,,6
3,L,2,15,1,21,D,,,,,,,,,6
3,R,2,,,,,,,,,,D,13,21,6
3,O,0,11,3,13,K,T,1,3,1,,,,,6
