SetterPosition,ReceiveType,BlockingNum,ReceivingPlayer,PassQuality,Attacker,AttackResult,killType,KillX,KillY,killTeam,hitFix,BlockResult,BlockingPlayer,BlockingAssist
3,S,,11,3,21,D,,,,,,,,
2,M,1.5,-1,,,,S,3,2,0,,,,
2,S,,15,0,,,,,,,,,,
2,S,,11,2,21,D,,,,,,,,
2,L,2.0,15,0,,,S,2,2,0,,,,
2,S,,11,2,21,E,,,,,,,,
2,S,,11,0,,,,,,,,,,
2,R,2.0,,,,,,,,,,T,21,1
2,S,,15,0,21,D,,,,,,,,
2,L,1.5,-1,,,,S,3,3,0,,,,
2,S,,15,3,1,D,,,,,,,,
2,F,0.0,15,2,9,D,,,,,,,,
2,P,1.0,15,3,4,D,,,,,,,,
2,L,2.0,15,0,,,R,2,3,0,,,,
2,S,,11,0,,,,,,,,,,
2,S,,19,2,21,D,,,,,,,,
2,L,2.0,19,3,21,K,R,2,3,1,,,,
1,L,2.0,,,,,,,,,,D,1,9
1,R,1.5,4,0,,,S,1,3,0,,,,
1,S,,11,0,,,,,,,,,,
1,S,,19,0,-1,D,,,,,,,,
6,R,1.5,-1,,,,S,1,2,0,,,,
6,S,,21,0,,,,,,,,,,
6,S,,21,0,,,,,,,,,,
6,S,,11,0,,,,,,,,,,
6,S,,21,1,19,D,,,,,,,,
6,L,1.5,,,,,,,,,,T,9,1
6,S,,19,2,9,K,S,1,2,1,,,,
5,L,2.0,4,2,19,D,,,,,,,,
5,L,2.0,21,3,9,D,,,,,,,,
5,F,0.0,21,3,13,D,,,,,,,,
5,L,2.0,,,,,,,,,,T,13,9
5,S,,21,2,9,E,,,,,,,,
5,S,,11,0,,,,,,,,,,
5,S,,21,1,19,K,T,1,1,1,,,,
5,O,0.0,19,1,-1,D,,,,,,,,
5,R,2.0,9,2,19,D,,,,,,,,
5,L,2.0,19,1,19,D,,,,,,,,
4,R,2.0,,,,,,,,,,K,13,19
4,F,0.0,21,3,13,B,,,,,,,,
4,S,,11,3,19,B,,,,,,,,
4,S,,11,0,19,D,,,,,,,,
3,L,2.0,9,1,-1,D,,,,,,,,
3,L,1.5,9,2,21,D,,,,,,,,
3,L,2.0,21,3,21,D,,,,,,,,
3,M,2.0,,,,,,,,,,D,13,19
3,O,1.0,,,,,,,,,,K,13,
3,P,0.0,-1,,,,S,3,3,0,,,,
3,S,,-1,0,,,,,,,,,,
3,S,,19,2,21,D,,,,,,,,
3,L,1.5,,,,,,,,,,T,13,4
