SetterPosition,ReceiveType,BlockingNum,ReceivingPlayer,PassQuality,Attacker,AttackResult,killType,KillX,KillY,killTeam,hitFix,BlockResult,BlockingPlayer,BlockingAssist
1,S,,21,3,21,K,B,,,1,,,,
1,F,0.0,21,0,,,,,,,,,,
1,,,,,,,,,,,,,,
6,S,,11,0,,,,,,,,,,
6,S,,21,0,,,,,,,,,,
6,S,,21,0,,,,,,,,,,
6,S,,11,0,,,,,,,,,,
6,S,,21,1,15,K,B,1,3,1,,,,
5,L,2.0,21,2,15,E,,,,,,,,
5,S,,11,0,-1,D,,,,,,,,
5,M,1.0,,,,,,,,,,K,13,
5,R,2.0,,,,,,,,,,K,13,15
5,L,2.0,9,1,,, ,,,0,,,,
5,L,1.0,,,,,,,,,,D,8,
5,L,2.0,,,,,,,,,,D,13,8
5,F,0.0,21,2,15,K,S,1,3,1,,,,
5,L,2.0,9,0,,,S,1,3,0,,,,
5,S,,21,3,13,K,T,1,3,1,,,,
3,F,0.0,11,3,9,B,,,,,,,,
3,S,,15,0,,,,,,,,,,
3,S,,11,3,13,D,,,,,,,,
3,D,0.0,15,0,,,T,3,3,0,,,,
3,S,,11,3,,,,,,,,,,
3,S,,11,0,,,,,,,,,,
3,S,,21,3,13,E,,,,,,,,
3,S,,11,1,-1,D,,,,,,,,
3,S,,11,0,-10, ,,,,1,,,,
3,L,1.5,9,0,,,S,2,2,0,,,,
3,S,,11,0,21,K,S,3,2,1,,,,
2,S,,9,1,15,K,S,1,3,1,,,,
1,M,1.5,11,1,9,K,S,3,3,1,,,,
1,F,0.0,11,1,,,,,,,,,,
1,S,,11,0,9,D,,,,,,,,
6,M,1.0,,,,,,,,,,T,18,
6,S,,21,0,,,,,,,,,,
6,S,,21,0,-1,D,,,,,,,,
5,S,,15,1,15,C,,,,,,,,
5,C,0.0,11,2,9,C,,,,,,,,
5,C,0.0,21,2,15,D,,,,,,,,
5,S,,11,2,15,E,,,,,,,,
5,S,,11,2,15,D,,,,,,,,
5,L,1.5,-1,,,,S,2,2,0,,,,
5,S,,11,3,13,K,S,2,2,1,,,,
5,P,1.0,11,2,15,K,S,1,3,1,,,,
4,D,0.0,15,2,9,D,,,,,,,,
