SetterPosition,ReceiveType,BlockingNum,ReceivingPlayer,PassQuality,Attacker,AttackResult,killType,KillX,KillY,killTeam,hitFix,BlockResult,BlockingPlayer,BlockingAssist
1,R,1.5,-1,,,,S,1,3,0,,,,
1,S,,21,1,9,D,,,,,,,,
1,M,1.0,4,2,9,K,S,1,2,1,,,,
6,M,2.0,21,1,15,D,,,,,,,,
6,P,1.0,11,2,9,E,,,,,,,,
5,S,,21,1,15,K,S,2,3,1,,,,
5,L,2.0,-1,,,,T,1,3,0,,,,
5,S,,15,2,9,B,,,,,,,,
5,S,,15,0,,,,,,,,,,
5,S,,15,3,15,K,S,2,3,1,,,,
5,R,2.0,21,3,13,D,,,,,,,,
5,L,2.0,11,0,,,R,3,2,0,,,,
5,S,,15,0,,,,,,,,,,
5,S,,9,0,,,,,,,,,,
4,S,,11,1,9,E,,,,,,,,
4,S,,11,0,,,,,,,,,,
3,L,2.0,,,,,,,,,,E,13,4
3,S,,11,2,21,D,,,,,,,,
3,F,0.0,11,3,13,D,,,,,,,,
3,L,2.0,,,,,,,,,,K,13,4
3,L,2.0,15,1,-1,D,,,,,,,,
3,M,2.0,9,2,21,K,R,1,3,1,,,,
3,L,2.0,13,0,,,S,3,2,0,,,,
2,S,,15,0,,,,,,,,,,
2,S,,21,2,21,B,,,,,,,,
2,S,,21,0,,,,,,,,,,
2,S,,15,2,-1,D,,,,,,,,
2,L,2.0,11,1,21,D,,,,,,,,
2,L,2.0,15,2,21,K,B,,,1,,,,
2,L,2.0,11,2,21,D,,,,,,,,
2,O,0.0,21,2,21,K,S,3,3,1,,,,
2,L,2.0,11,1,21,K,R,2,3,1,,,,
1,R,1.0,15,1,-1,D,,,,,,,,
1,L,2.0,1,1,-1,,,,,0,,,,
1,F,0.0,15,3,9,D,,,,,,,,
1,F,0.0,15,3,1,C,,,,,,,,
1,C,0.0,9,2,21,E,,,,,,,,
1,S,,11,0,-1,D,,,,,,,,
6,S,,15,1,9,K,S,3,3,1,,,,
5,S,,21,2,9,D,,,,,,,,
5,L,2.0,,,,,,,,,,T,13,9
5,S,,15,3,13,K,S,3,3,1,,,,
4,R,2.0,11,0,,,S,3,3,0,,,,
4,S,,15,2,15,K,S,2,3,1,,,,
4,P,1.0,15,1,-1,D,,,,,,,,
4,L,2.0,,,,,,,,,,T,13,9
3,S,,11,3,4,K,T,2,2,1,,,,
2,L,2.0,15,0,,,S,2,3,0,,,,
2,S,,15,1,9,D,,,,,,,,
2,R,1.0,11,2,21,D,,,,,,,,
2,L,2.0,9,2,21,D,,,,,,,,
2,R,2.0,1,2,-1,E,,,,,,,,
2,S,,21,0,,,,,,,,,,
2,S,,15,3,1,K,T,2,2,1,,,,
1,L,2.0,11,0,,,S,3,2,0,,,,
