SetterPosition,ReceiveType,BlockingNum,ReceivingPlayer,PassQuality,Attacker,AttackResult,killType,KillX,KillY,killTeam,hitFix,BlockResult,BlockingPlayer,BlockingAssist
1,S,,15,0,21,K,R,1,2,1,,,,
6,L,2.0,-1,,,,R,2,2,0,,,,
6,S,,21,3,15,K,S,1,3,1,,,,
5,L,2.0,21,2,9,K,R,2,3,1,,,,
5,M,2.0,,,,,,,,,,D,13,15
5,L,2.0,21,2,15,K,B,,,1,,,,
5,M,1.5,21,3,15,K,B,,,1,,,,
5,M,1.0,18,0,,,S,3,2,0,,,,
4,L,2.0,,,,,,,,,,D,13,4
4,R,1.5,-1,,,,S,2,3,0,,,,
4,S,,11,2,9,E,,,,,,,,
4,S,,21,0,-1,D,,,,,,,,
4,L,2.0,9,2,15,E,,,,,,,,
4,S,,21,1,15,D,,,,,,,,
4,L,1.0,11,0,,,S,3,2,0,,,,
4,S,,11,2,13,D,,,,,,,,
4,L,2.0,9,1,-1,D,,,,,,,,
4,M,1.0,,,,,,,,,,K,13,
4,L,1.5,,,,,,,,,,T,13,4
3,S,,11,2,13,D,,,,,,,,
3,F,0.0,15,3,21,E,,,,,,,,
3,S,,21,1,9,K,S,1,2,1,,,,
2,L,1.5,15,1,-1,K,,,,1,,,,
2,L,1.5,,,,,,,,,,T,18,4
2,S,,11,0,-1,D,,,,,,,,
2,L,1.5,,,,,,,,,,D,4,18
1,L,2.0,11,0,,,S,3,2,0,,,,
1,S,,11,3,21,D,,,,,,,,
1,L,1.0,4,0,,,S,1,2,0,,,,
1,S,,15,0,,,,,,,,,,
1,S,,15,3,21,K,S,3,3,1,,,,
6,L,0.0,-1,,,,R,2,2,0,,,,
6,S,,21,1,9,D,,,,,,,,
6,P,1.0,11,1,-1,D,,,,,,,,
6,M,1.0,4,1,,,,,,,,,,
6,S,,15,2,9,K,B,,,1,,,,
6,M,1.0,-1,,,,T,3,3,0,,,,
5,S,,15,2,9,K,B,,,1,,,,
4,R,1.5,9,0,,,S,1,2,0,,,,
4,S,,15,2,15,D,,,,,,,,
4,L,2.0,9,0,,,T,1,3,0,,,,
4,S,,15,2,15,D,,,,,,,,
4,L,2.0,,,,,,,,,,T,13,4
4,S,,21,3,4,D,,,,,,,,
4,D,0.0,-1,,,,T,3,3,0,,,,
4,S,,21,2,15,D,,,,,,,,
4,R,2.0,9,1,-1,D,,,,0,,,,
3,R,2.0,11,2,15,E,,,,,,,,
3,S,,21,1,21,D,,,,,,,,
2,L,2.0,13,2,21,D,,,,,,,,
2,L,2.0,9,1,15,E,,,,,,,,
2,S,,15,1,21,D,,,,,,,,
2,L,1.5,15,1,21,D,,,,,,,,
2,L,2.0,15,1,,,,,,,,,,
2,S,,11,3,1,E,,,,,,,,
2,S,,15,3,4,D,,,,,,,,
1,L,2.0,15,1,-1,D,,,,,,,,
1,M,2.0,-1,,,,B,2,1,0,,,,
1,S,,11,2,9,K,B,,,1,,,,
1,L,2.0,,,,,,,,,,D,9,1
1,F,0.0,21,2,9,D,,,,,,,,
1,F,0.0,11,0,-1,D,,,,,,,,
1,R,2.0,,,,,,,,,,K,15,1
