SetterPosition,ReceiveType,BlockingNum,ReceivingPlayer,PassQuality,Attacker,AttackResult,killType,KillX,KillY,killTeam,hitFix,BlockResult,BlockingPlayer,BlockingAssist
6,F,0.0,11,3,1,E,,,,,,,,
6,S,,21,0,,,,,,,,,,
6,S,,11,2,15,D,,,,,,,,
6,R,1.0,1,2,15,K,B,2,2,1,,,,
5,M,1.0,1,2,9,D,,,,,,,,
5,R,2.0,,,,,,,,,,D,18,21
5,F,0.0,8,,,,,,,,,,,
5,S,,15,0,15,D,,,,,,,,
5,O,0.0,8,2,9,D,,,,,,,,
5,L,2.0,,,,,,,,,,K,18,9
4,R,2.0,9,3,15,E,,,,,,,,
4,S,,21,1,15,E,,,,,,,,
4,S,,21,3,15,E,,,,,,,,
4,S,,15,0,-1,D,,,,,,,,
4,M,1.0,-1,,,,R,3,1,0,,,,
4,S,,21,1,9,D,,,,,,,,
4,L,2.0,11,2,-1,D,,,,,,,,
4,R,1.5,,,,,,,,,,T,18,19
4,S,,11,0,-1,D,,,,,,,,
3,L,2.0,,,,,,,,,,D,18,8
3,S,,-1,0,,,,,,,,,,
2,S,,19,1,8,D,,,,,,,,
1,R,2.0,,,,,,,,,,K,21,1
1,R,0.0,1,1,21,D,,,,,,,,
1,S,,11,0,,,,,,,,,,
1,S,,21,2,1,D,,,,,,,,
1,S,,11,2,21,E,,,,,,,,
