SetterPosition,ReceiveType,BlockingNum,ReceivingPlayer,PassQuality,Attacker,AttackResult,killType,KillX,KillY,killTeam,hitFix,BlockResult,BlockingPlayer,BlockingAssist
1,F,0.0,11,2,9,K,T,3,1,1,,,,
1,L,2.0,19,2,9,E,,,,,,,,
6,S,-10.0,11,0,9,D,,,,,,,,
6,M,2.0,-1,,,,S,3,3,0,,,,
6,S,,19,1,9,D,,,,,,,,
6,F,0.0,21,2,9,K,T,1,2,1,,,,
6,O,1.0,,,,,,,,,,K,13,
5,M,2.0,11,0,,,S,3,2,0,,,,
5,S,,19,3,19,E,,,,,,,,
6,M,2.0,,,,,,,,,,K,13,21
6,F,0.0,11,2,21,D,,,,,,,,
6,L,2.0,,,,,,,,,,K,13,15
6,L,2.0,,,,,,,,,,D,13,15
6,F,0.0,11,3,13,K,T,1,3,1,,,,
6,D,0.0,-1,,,,T,2,2,0,,,,
