SetterPosition,ReceiveType,BlockingNum,ReceivingPlayer,PassQuality,Attacker,AttackResult,killType,KillX,KillY,killTeam,hitFix,BlockResult,BlockingPlayer,BlockingAssist
3,L,2.0,,,,,,,,,,E,13,4
3,S,,21,1,-1,D,,,,,,,,
2,L,2.0,-1,,,,B,3,1,0,,,,
2,S,,19,1,21,D,,,,,,,,
2,L,2.0,19,0,,,R,2,3,0,,,,
2,S,,19,0,,,,,,,,,,
2,S,,9,2,21,B,,,,,,,,
2,S,,9,3,21,E,,,,,,,,
2,S,,21,0,21,D,,,,,,,,
1,M,2.0,4,1,-1,D,,,,,,,,
1,L,2.0,,,,,,,,,,K,1,9
1,D,0.0,4,2,21,E,,,,,,,,
1,S,,19,0,9,E,,,,,,,,
1,S,,11,0,,,,,,,,,,
1,S,,11,0,,,,,,,,,,
1,S,,11,1,,,,,,,,,,
6,L,1.0,4,2,9,K,R,2,2,1,,,,
6,O,0.0,19,3,1,D,,,,,,,,
6,R,2.0,,,,,,,,,,K,1,19
6,F,0.0,21,2,19,K,S,1,3,1,,,,
6,M,2.0,11,2,9,D,,,,,,,,
6,L,1.5,21,2,19,D,,,,,,,,
6,F,0.0,21,1,19,K,S,3,3,1,,,,
6,F,0.0,21,3,9,C,,,,,,,,
6,C,0.0,1,1,19,K,R,2,2,1,,,,
6,M,2.5,11,0,,,S,3,3,0,,,,
5,M,2.5,1,0,,,S,3,2,0,,,,
5,S,,19,1,19,D,,,,,,,,
5,L,2.0,21,2,9,D,,,,,,,,
5,F,0.0,11,3,13,E,,,,,,,,
5,S,,19,1,19,D,,,,,,,,
5,L,2.0,11,1,-1,D,,,,,,,,
5,M,2.0,,,,,,,,,,T,13,19
5,S,,21,1,19,C,,,,,,,,
5,C,0.0,11,1,19,D,,,,,,,,
5,M,1.0,9,1,,,,,,,,,,
5,S,,21,0,,,,,,,,,,
5,S,,19,3,9,E,,,,,,,,
5,S,,11,3,13,E,,,,,,,,
4,D,0.0,9,1,19,E,,,,,,,,
4,S,,15,1,19,B,,,,,,,,
4,S,,15,0,,,,,,,,,,
4,S,,11,0,,,,,,,,,,
4,S,,11,1,19,C,,,,,,,,
4,C,0.0,13,2,19,D,,,,,,,,
4,F,2.0,11,3,13,E,,,,,,,,
4,S,,-1,0,,,,,,,,,,
