SetterPosition,ReceiveType,BlockingNum,ReceivingPlayer,PassQuality,Attacker,AttackResult,killType,KillX,KillY,killTeam,hitFix,BlockResult,BlockingPlayer,BlockingAssist
3,S,,11,3,-1,D,,,,,,,,
3,R,2.0,,,,,,,,,,D,13,21
3,L,0.0,-1,,,,S,1,3,0,,,,
2,D,1.0,13,3,21,D,,,,,,,,
2,L,1.0,9,1,-1,D,,,,,,,,
2,M,1.5,13,0,,,S,3,2,0,,,,
2,S,,21,1,21,E,,,,,,,,
2,S,,15,0,,,,,,,,,,
2,S,,21,0,,,,,,,,,,
2,S,,15,3,1,E,,,,,,,,
2,S,,11,0,21,D,,,,,,,,
2,R,1.5,9,0,,,S,3,2,0,,,,
1,F,0.0,15,3,1,D,,,,,,,,
1,L,1.5,-1,,,,T,1,1,0,,,,
1,S,,11,3,21,D,,,,,,,,
1,O,0.0,8,2,21,B,,,,,,,,
1,S,,11,3,1,K,S,1,3,1,,,,
6,M,1.0,,,,,,,,,,T,1,
6,S,,15,0,,,,,,,,,,
6,L,2.0,,,,,,,,,,K,13,9
6,L,2.0,,,,,,,,,,D,13,9
6,L,2.0,1,2,15,K,B,1,3,1,,,,
6,M,1.0,,,,,,,,,,K,13,
6,L,2.0,,,,,,,,,,K,9,13
6,L,2.0,,,,,,,,,,D,13,9
6,L,2.0,15,2,15,E,,,,,,,,
5,S,,11,1,15,E,,,,,,,,
5,S,,21,1,15,D,,,,,,,,
5,L,2.0,13,1,-1,D,,,,,,,,
5,D,1.0,,,,,,,,,,D,15,
4,L,2.0,8,1,-1,D,,,,,,,,
4,M,1.0,11,1,9,K,R,3,2,1,,,,
4,R,1.5,11,2,21,D,,,,,,,,
4,L,2.0,,,,,,,,,,K,13,8
4,M,1.5,,,,,,,,,,T,13,21
3,S,,11,3,21,D,,,,,,,,
