SetterPosition,ReceiveType,BlockingNum,ReceivingPlayer,PassQuality,Attacker,AttackResult,killType,KillX,KillY,killTeam,hitFix,BlockResult,BlockingPlayer,BlockingAssist,SetID
1,L,0,15,2,21,D,,,,,,,,,1
1,L,2,-1,,,,S,2,3,0,,,,,1
6,F,0,21,3,18,C,,,,,,,,,1
6,R,2,,,,,,,,,,T,15,18,1
6,S,,15,1,15,E,,,,,,,,,1
6,S,,21,0,-1,D,,,,,,,,,1
6,M,2,-1,,,,S,2,2,0,,,,,1
6,S,,21,0,,,,,,,,,,,1
5,R,2,-1,,,,B,2,3,0,,,,,1
5,S,,11,0,,,,,,,,,,,1
5,S,,15,0,,,,,,,,,,,1
4,L,1,11,2,15,K,S,1,3,1,,,,,1
4,F,0,13,3,15,B,,,,,,,,,1
4,S,,21,2,15,K,B,2,2,1,,,,,1
3,F,1,15,2,21,D,,,,,,,,,1
3,F,0,9,3,13,D,,,,,,,,,1
3,L,2,9,3,21,D,,,,,,,,,1
3,L,2,,,,,,,,,,K,13,4,1
3,S,,21,2,13,D,,,,,,,,,1
3,M,0,4,0,,,T,2,2,0,,,,,1
3,S,,11,3,13,K,S,3,3,1,,,,,1
2,S,,15,3,4,K,T,1,2,1,,,,,1
2,L,2,4,2,21,D,,,,,,,,,1
2,L,2,-1,,,,S,2,2,0,,,,,1
2,S,,21,2,9,D,,,,,,,,,1
1,R,2,-1,,,,T,3,3,0,,,,,1
1,S,,21,1,9,D,,,,,,,,,1
1,L,2,15,1,21,D,,,,,,,,,1
1,R,1.5,4,1,21,D,,,,,,,,,1
1,F,0,9,1,21,K,B,,,1,,,,,1
1,F,0,21,3,9,D,,,,,,,,,1
1,R,1.5,,,,,,,,,,D,15,18,1
1,F,0,11,3,9,E,,,,,,,,,1
6,S,,11,0,,,,,,,,,,,1
5,L,2,,,,,,,,,,T,9,13,1
5,R,1.5,-1,,,,S,2,3,0,,,,,1
5,S,,11,2,,,,,,,,,,,1
5,S,,15,0,,,,,,,,,,,1
5,F,0,15,3,13,K,S,1,3,1,,,,,1
5,L,2,,,,,,,,,,T,13,8,1
5,S,,11,2,21,D,,,,,,,,,1
6,S,,15,0,,,,,,,,,,,2
6,S,,-1,,,,,,,,,,,,2
6,S,,15,1,15,E,,,,,,,,,2
6,S,,15,3,1,E,,,,,,,,,2
6,S,,15,0,-1,,,,,,,,,,2
6,F,0,21,3,9,D,,,,,,,,,2
6,L,2,,,,,,,,,,T,15,1,2
6,S,,15,3,9,E,,,,,,,,,2
6,S,,-1,0,,,,,,,,,,,2
6,S,,11,3,1,B,,,,,,,,,2
6,S,,21,3,15,D,,,,,,,,,2
6,L,2,21,2,,,,,,,,,,,2
6,S,,11,1,15,D,,,,,,,,,2
5,L,2,1,2,15,K,S,3,3,1,,,,,2
5,R,1.5,-1,,,,S,2,3,0,,,,,2
5,S,,21,1,15,B,,,,,,,,,2
5,S,,21,0,,,,,,,,,,,2
5,S,,21,3,13,E,,,,,,,,,2
4,R,2,,,,,,,,,,K,13,19,2
4,R,1.5,9,2,19,D,,,,,,,,,2
4,L,2,21,1,-1,D,,,,,,,,,2
4,R,2,,,,,,,,,,K,13,19,2
4,L,2,11,3,4,K,T,2,2,1,,,,,2
4,O,1,,,,,,,,,,K,13,,2
4,L,2,,,,,,,,,,E,13,19,2
4,S,,19,1,13,D,,,,,,,,,2
3,R,2,-1,,,,S,1,3,0,,,,,2
3,S,,11,2,21,D,,,,,,,,,2
2,L,2,,,,,,,,,,K,1,4,2
2,P,0,9,1,-1,D,,,,,,,,,2
2,R,2,1,2,21,D,,,,,,,,,2
2,F,0,19,3,1,D,,,,,,,,,2
2,F,0,9,3,21,D,,,,,,,,,2
2,F,0,9,3,21,K,S,3,1,1,,,,,2
2,L,2,13,2,21,D,,,,,,,,,2
2,L,2,19,2,21,K,T,1,3,1,,,,,2
2,L,2,,,,,,,,,,T,1,4,2
1,L,1.5,19,3,,,,,,,,,,,2
1,S,,21,1,9,C,,,,,,,,,2
1,F,0,11,3,9,K,S,2,2,1,,,,,2
1,L,2,4,2,,,,,,,,,,,2
1,S,,21,3,9,D,,,,,,,,,2
6,L,2,15,2,9,K,S,1,1,1,,,,,2
6,L,2,21,2,15,K,S,2,3,1,,,,,2
6,R,2,,,,,,,,,,T,13,15,2
5,S,,21,2,13,K,T,1,3,1,,,,,2
4,L,2,-1,,,,S,2,3,0,,,,,2
