SetterPosition,ReceiveType,BlockingNum,ReceivingPlayer,PassQuality,Attacker,AttackResult,killType,KillX,KillY,killTeam,hitFix,BlockResult,BlockingPlayer,BlockingAssist
6,S,,11,2,15,K,S,3,2,1,,,,
5,M,2.0,9,1,,,,,,,,,,
5,S,,21,0,,,,,,,,,,
5,S,,15,1,15,D,,,,,,,,
5,M,2.0,21,0,,,S,1,3,0,,,,
5,S,,15,2,15,D,,,,,,,,
5,L,2.0,4,2,9,D,,,,,,,,
5,O,1.0,,,,,,,,,,K,13,
4,R,2.0,9,3,15,E,,,,,,,,
4,S,,-1,,,,,,,,,,,
4,S,,21,1,15,E,,,,,,,,
3,M,1.0,,,,,,,,,,T,13,
3,S,,15,1,13,D,,,,,,,,
3,L,2.0,11,3,21,C,,,,,,,,
3,C,0.0,11,3,21,D,,,,,,,,
3,F,0.0,11,3,13,B,,,,,,,,
2,R,1.5,9,0,,,,,,0,,,,
2,O,0.0,13,3,15,E,,,,,,,,
1,M,1.0,11,1,-1,D,,,,0,,,,
1,L,2.0,-1,,,,S,2,2,0,,,,
6,F,0.0,11,3,9,C,,,,,,,,
6,C,0.0,9,1,15,D,,,,,,,,
6,L,2.0,21,2,15,C,,,,,,,,
6,C,0.0,15,1,9,D,,,,,,,,
6,L,2.0,11,0,,,S,3,2,0,,,,
6,S,,21,1,9,D,,,,,,,,
6,L,2.0,15,2,15,K,B,1,2,1,,,,
5,S,,21,1,15,K,S,2,2,1,,,,
4,M,1.0,9,1,15,D,,,,,,,,
4,O,0.0,15,3,13,K,R,2,2,1,,,,
4,R,2.0,-1,,,,T,2,1,0,,,,
4,S,,15,1,13,D,,,,,,,,
4,M,1.0,9,1,,,,,,,,,,
4,S,,21,3,15,K,S,3,3,1,,,,
3,M,1.0,9,1,-1,D,,,,0,,,,
3,F,0.0,11,3,15,E,,,,,,,,
3,S,,11,1,21,D,,,,,,,,
3,L,2.0,9,2,21,K,R,3,1,1,,,,
2,M,1.0,13,1,-1,D,,,,,,,,
1,M,1.5,-1,,,,T,2,1,0,,,,
1,S,,11,3,9,E,,,,,,,,
1,S,,11,1,21,E,,,,,,,,
1,S,,15,2,9,D,,,,,,,,
1,F,0.0,9,2,21,D,,,,,,,,
1,L,2.0,,,,,,,,,,K,9,1
6,S,,15,3,9,K,S,1,3,1,,,,
5,M,3.0,1,2,15,E,,,,,,,,
5,S,,21,3,13,D,,,,,,,,
5,L,2.0,11,2,15,D,,,,,,,,
5,F,0.0,21,3,9,E,,,,,,,,
5,S,,21,3,13,D,,,,,,,,
5,L,2.0,21,2,15,D,,,,,,,,
5,R,2.0,,,,,,,,,,D,13,15
5,O,0.0,21,3,13,E,,,,,,,,
5,S,,15,0,,,,,,,,,,
5,S,,21,3,9,B,,,,,,,,
