SetterPosition,ReceiveType,BlockingNum,ReceivingPlayer,PassQuality,Attacker,AttackResult,killType,KillX,KillY,killTeam,hitFix,BlockResult,BlockingPlayer,BlockingAssist
3,M,1.0,11,1,-1,D,,,,,,,,
3,L,2.0,,,,,,,,,,D,13,8
3,L,2.0,19,2,15,D,,,,,,,,
3,L,0.0,19,3,9,K,S,1,3,1,,,,
2,M,1.0,9,1,,,,,,,,,,
1,S,,11,2,15,E,,,,,,,,
1,S,,19,2,9,K,S,3,3,1,,,,
6,L,1.5,-1,,,,S,2,2,0,,,,
5,L,1.0,15,2,13,D,,,,,,,,
5,F,0.0,15,2,19,D,,,,,,,,
4,S,,15,3,13,K,T,2,2,1,,,,
4,L,2.0,,,,,,,,,,D,13,8
3,L,2.0,,,,,,,,,,K,13,8
3,L,2.0,13,2,15,K,S,1,3,1,,,,
3,S,,11,2,15,D,,,,,,,,
3,R,2.0,,,,,,,,,,K,13,15
1,L,2.0,8,2,15,D,,,,,,,,
1,P,1.0,19,0,,,,,,0,,,,
1,S,,19,2,9,K,T,1,1,1,,,,
6,M,2.0,,,,,,,,,,K,1,15
6,F,0.0,-1,,,,,,,,,,,
6,S,,11,3,1,K,B,3,3,1,,,,
6,L,2.0,15,1,-1,D,,,,,,,,
5,S,,15,3,13,D,,,,,,,,
5,L,2.0,11,2,9,B,,,,,,,,
5,S,,19,2,13,D,,,,,,,,
4,F,0.0,9,3,19,K,S,1,3,1,,,,
4,L,1.5,15,1,19,D,,,,,,,,
3,R,2.0,,,,,,,,,,T,13,19
3,S,,11,1,19,D,,,,,,,,
3,S,,13,2,15,K,S,3,2,1,,,,
3,M,1.0,,,,,,,,,,D,1,
3,F,0.0,19,3,9,D,,,,,,,,
